id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3	0	94	105	547	29	24	453	400	11
11	0	261	556	629	73	0	368	295	295
4	0	104	121	694	112	20	590	458	17
5	0	159	300	861	82	25	702	595	141
7	0	175	366	995	86	14	820	720	191
22	0	462	1061	1072	11	0	610	599	599
1	0	0	0	1132	170	52	1132	910	0
9	0	229	493	1171	20	4	942	918	264
26	0	554	1192	1239	47	0	685	638	638
27	0	555	1239	1319	80	0	764	684	684
29	0	597	1414	1457	43	0	860	817	817
35	0	672	1730	1856	126	0	1184	1058	1058
41	0	757	2012	2045	33	0	1288	1255	1255
43	0	815	2191	2219	28	0	1404	1376	1376
48	0	901	2348	2363	15	0	1462	1447	1447
25	0	524	1171	2591	27	7	2067	2033	647
2	0	90	94	2708	188	53	2618	2377	4
10	0	250	547	2709	56	15	2459	2388	297
30	0	603	1457	2719	7	7	2116	2102	854
33	0	665	1695	2826	22	12	2161	2127	1030
39	0	741	1979	3045	91	6	2304	2207	1238
44	0	818	2219	3301	89	8	2483	2386	1401
18	0	384	861	3343	26	23	2959	2910	477
46	0	871	2294	3392	67	29	2521	2425	1423
49	0	918	2363	3619	51	30	2701	2620	1445
21	0	448	995	3743	232	15	3295	3048	547
23	0	480	1072	3770	156	13	3290	3121	592
24	0	506	1132	3819	97	9	3313	3207	626
12	0	278	629	3861	55	12	3583	3516	351
13	0	291	632	3918	214	15	3627	3398	341
34	0	666	1708	3939	61	4	3273	3208	1042
17	0	342	754	4177	123	17	3835	3695	412
6	0	167	325	4233	177	42	4066	3847	158
31	0	641	1489	4551	99	35	3910	3776	848
32	0	652	1495	4573	161	5	3921	3755	843
14	0	301	649	4673	304	29	4372	4039	348
19	0	397	873	4817	131	41	4420	4248	476
8	0	216	411	4901	165	56	4685	4464	195
28	0	575	1393	4940	119	30	4365	4216	818
38	0	702	1949	4964	156	50	4262	4056	1247
40	0	750	1997	5034	120	49	4284	4115	1247
16	0	341	694	5061	311	63	4720	4346	353
45	0	823	2284	5110	121	15	4287	4151	1461
50	0	931	2368	5146	67	54	4215	4094	1437
36	0	679	1881	5287	87	27	4608	4494	1202
15	0	302	672	5327	114	68	5025	4843	370
42	0	806	2148	5331	61	34	4525	4430	1342
37	0	681	1887	5723	232	155	5042	4655	1206
20	0	406	926	5900	345	132	5494	5017	520
47	0	889	2347	6002	650	141	5113	4322	1458
0	0	0	0	6002	65	0	6002	5937	0
