id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	41	41	0	41	0	0
6	0	49	364	369	5	0	320	315	315
8	0	118	484	517	6	8	399	385	366
21	0	639	681	691	10	0	52	42	42
25	0	710	779	803	24	0	93	69	69
26	0	730	803	832	29	0	102	73	73
27	0	733	832	837	5	0	104	99	99
28	0	758	837	841	4	0	83	79	79
36	0	975	1053	1080	27	0	105	78	78
15	0	402	430	2009	63	65	1607	1479	28
43	0	1214	1289	2037	29	2	823	792	75
41	0	1122	1941	2059	21	18	937	898	819
13	0	323	427	2068	40	50	1745	1655	104
32	0	886	947	2217	62	6	1331	1263	61
12	0	289	369	2375	91	9	2086	1986	80
3	0	21	259	2402	52	18	2381	2311	238
34	0	914	1018	2414	34	22	1500	1444	104
19	0	616	691	2505	47	63	1889	1779	75
5	0	42	456	2628	46	4	2586	2536	414
24	0	707	753	2831	90	71	2124	1963	46
42	0	1167	1258	2878	52	17	1711	1642	91
20	0	631	651	2943	96	12	2312	2204	20
31	0	877	916	3077	66	19	2200	2115	39
9	0	178	258	3106	74	19	2928	2835	80
4	0	24	236	3136	57	10	3112	3045	212
35	0	953	1040	3187	118	52	2234	2064	87
16	0	494	517	3289	111	52	2795	2632	23
30	0	792	880	3395	124	17	2603	2462	88
29	0	771	841	3534	104	10	2763	2649	70
46	0	1321	1662	3897	240	20	2576	2316	341
10	0	258	350	4046	170	6	3788	3612	92
7	0	114	390	4288	214	110	4174	3850	276
33	0	891	963	4334	87	10	3443	3346	72
48	0	1374	1780	4336	111	38	2962	2813	406
23	0	699	730	4428	173	23	3729	3533	31
50	0	1397	1911	4465	158	20	3068	2890	514
22	0	684	703	4479	151	112	3795	3532	19
11	0	272	313	4711	184	22	4439	4233	41
45	0	1299	1622	5044	127	12	3745	3606	323
47	0	1371	1708	5056	173	20	3685	3492	337
17	0	531	551	5175	123	23	4644	4498	20
14	0	377	437	5296	308	80	4919	4531	60
18	0	560	634	5335	140	24	4775	4611	74
37	0	992	1080	5353	331	66	4361	3964	88
38	0	1058	1122	5496	178	9	4438	4251	64
39	0	1101	1219	5828	494	145	4727	4088	118
49	0	1382	1834	5885	423	131	4503	3949	452
2	0	20	41	6080	268	2	6060	5790	21
44	0	1290	1480	6230	323	97	4940	4520	190
40	0	1120	1301	6242	325	36	5122	4761	181
0	0	0	0	6242	13	0	6242	6229	0
