id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3	0	94	105	230	29	24	136	83	11
9	0	229	230	268	20	4	39	15	1
1	0	0	0	279	170	52	279	57	0
18	0	384	387	479	26	23	95	46	3
22	0	462	479	490	11	0	28	17	17
25	0	524	549	586	27	7	62	28	25
12	0	278	279	597	55	12	319	252	1
30	0	603	618	664	7	7	61	47	15
33	0	665	670	733	22	12	68	34	5
34	0	666	779	887	61	4	221	156	113
48	0	901	910	925	15	0	24	9	9
43	0	815	1016	1044	28	0	229	201	201
41	0	757	1168	1201	33	0	444	411	411
36	0	679	686	1265	87	27	586	472	7
50	0	931	951	1301	67	54	370	249	20
28	0	575	597	1346	119	30	771	622	22
24	0	506	619	1526	97	9	1020	914	113
15	0	302	307	1597	114	68	1295	1113	5
29	0	597	1597	1640	43	0	1043	1000	1000
7	0	175	1640	1772	86	14	1597	1497	1465
10	0	250	268	1773	56	15	1523	1452	18
26	0	554	1819	1866	47	0	1312	1265	1265
42	0	806	831	1870	61	34	1064	969	25
46	0	871	892	1919	67	29	1048	952	21
45	0	823	833	1968	121	15	1145	1009	10
49	0	918	925	2068	51	30	1150	1069	7
5	0	159	282	2230	82	25	2071	1964	123
17	0	342	1968	2255	123	17	1913	1773	1626
19	0	397	2109	2444	131	41	2047	1875	1712
6	0	167	1386	2652	177	42	2485	2266	1219
40	0	750	764	2883	120	49	2133	1964	14
44	0	818	2901	3062	89	8	2244	2147	2083
37	0	681	2358	3176	232	155	2495	2108	1677
8	0	216	2762	3201	165	56	2985	2764	2546
11	0	261	3315	3388	73	0	3127	3054	3054
39	0	741	746	3501	91	6	2760	2663	5
32	0	652	1078	3523	161	5	2871	2705	426
27	0	555	3602	3682	80	0	3127	3047	3047
4	0	104	121	3697	112	20	3593	3461	17
31	0	641	664	3863	99	35	3222	3088	23
38	0	702	801	4076	156	50	3374	3168	99
23	0	480	1346	4269	156	13	3789	3620	866
14	0	301	331	4665	304	29	4364	4031	30
20	0	406	490	4788	345	132	4382	3905	84
2	0	90	94	5146	188	53	5056	4815	4
21	0	448	3102	5278	232	15	4830	4583	2654
35	0	672	5328	5454	126	0	4782	4656	4656
16	0	341	2463	5460	311	63	5119	4745	2122
13	0	291	314	5850	214	15	5559	5330	23
47	0	889	891	6008	650	141	5119	4328	2
0	0	0	0	6008	71	0	6008	5937	0
