id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3	0	63	65	111	12	22	48	14	2
8	0	176	184	193	9	0	17	8	8
11	0	198	219	235	16	0	37	21	21
15	0	230	235	241	6	0	11	5	5
14	0	221	241	250	9	0	29	20	20
1	0	0	0	304	111	12	304	181	0
9	0	183	444	481	37	0	298	261	261
32	0	483	524	546	22	0	63	41	41
35	0	535	546	590	20	4	55	31	11
42	0	637	638	639	1	0	2	1	1
45	0	697	716	763	20	1	66	45	19
27	0	446	483	906	72	33	460	355	37
31	0	472	481	920	69	16	448	363	9
43	0	642	920	1028	71	3	386	312	278
18	0	281	311	1179	81	11	898	806	30
6	0	139	158	1305	108	45	1166	1013	19
39	0	591	1179	1306	42	10	715	663	588
47	0	704	721	1364	72	3	660	585	17
17	0	259	1411	1592	114	4	1333	1215	1152
50	0	778	779	1857	125	54	1079	900	1
49	0	756	1364	1920	100	3	1164	1061	608
19	0	297	304	1995	124	34	1698	1540	7
48	0	749	763	2049	154	30	1300	1116	14
33	0	517	563	2474	151	44	1957	1762	46
38	0	580	586	2561	94	27	1981	1860	6
10	0	196	2365	2570	96	18	2374	2260	2169
20	0	337	351	2728	245	61	2391	2085	14
13	0	213	2570	2773	121	8	2560	2431	2357
30	0	470	486	3194	151	141	2724	2432	16
23	0	391	400	3272	137	7	2881	2737	9
26	0	433	3306	3508	132	7	3075	2936	2873
4	0	102	118	3730	197	28	3628	3403	16
21	0	338	3551	3996	189	53	3658	3416	3213
29	0	450	1218	4072	130	33	3622	3459	768
37	0	564	687	4149	106	12	3585	3467	123
22	0	380	1931	4394	136	16	4014	3862	1551
40	0	600	806	4501	178	15	3901	3708	206
2	0	13	66	4675	126	10	4662	4526	53
16	0	243	250	4720	275	71	4477	4131	7
7	0	168	4720	4820	100	0	4652	4552	4552
41	0	620	1459	5326	372	48	4706	4286	839
5	0	118	139	5494	187	55	5376	5134	21
28	0	448	5337	5498	112	30	5050	4908	4889
25	0	418	2773	5718	454	85	5300	4761	2355
46	0	701	5498	5732	124	7	5031	4900	4797
34	0	534	2049	5851	196	88	5317	5033	1515
24	0	416	434	5984	155	26	5568	5387	18
44	0	696	2840	6392	266	60	5696	5370	2144
12	0	207	6433	6748	309	6	6541	6226	6226
36	0	550	3376	6818	672	138	6268	5458	2826
0	0	0	0	6818	12	0	6818	6806	0
