id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3	0	94	99	245	29	24	151	98	5
9	0	229	265	549	20	4	320	296	36
22	0	462	540	794	11	0	332	321	78
30	0	603	728	1108	7	7	505	491	125
18	0	384	458	1480	26	23	1096	1047	74
48	0	901	1102	1525	15	0	624	609	201
33	0	665	794	1613	22	12	948	914	129
25	0	524	630	1792	27	7	1268	1234	106
43	0	815	1002	2041	28	0	1226	1198	187
1	0	0	0	2121	170	52	2121	1899	0
41	0	757	934	2169	33	0	1412	1379	177
10	0	250	285	2180	56	15	1930	1859	35
12	0	278	325	2273	55	12	1995	1928	47
29	0	597	718	2286	43	0	1689	1646	121
5	0	159	162	2328	82	25	2169	2062	3
26	0	554	660	2381	47	0	1827	1780	106
11	0	261	305	2541	73	0	2280	2207	44
7	0	175	196	2597	86	14	2422	2322	21
4	0	104	109	2690	112	20	2586	2454	5
49	0	918	1118	2966	51	30	2048	1967	200
34	0	666	804	3151	61	4	2485	2420	138
27	0	555	665	3294	80	0	2739	2659	110
46	0	871	1066	3354	67	29	2483	2387	195
42	0	806	990	3439	61	34	2633	2538	184
50	0	931	1134	3654	67	54	2723	2602	203
24	0	506	610	3756	97	9	3250	3144	104
44	0	818	1007	3800	89	8	2982	2885	189
39	0	741	909	3865	91	6	3124	3027	168
36	0	679	824	3920	87	27	3241	3127	145
15	0	302	362	4031	114	68	3729	3547	60
31	0	641	772	4103	99	35	3462	3328	131
17	0	342	407	4178	123	17	3836	3696	65
19	0	397	465	4402	131	41	4005	3833	68
28	0	575	695	4406	119	30	3831	3682	120
35	0	672	814	4447	126	0	3775	3649	142
40	0	750	924	4456	120	49	3706	3537	174
45	0	823	1017	4465	121	15	3642	3506	194
2	0	90	94	4596	188	53	4506	4265	4
8	0	216	245	4652	165	56	4436	4215	29
23	0	480	578	4707	156	13	4227	4058	98
6	0	167	181	4748	177	42	4581	4362	14
38	0	702	859	4840	156	50	4138	3932	157
32	0	652	783	4864	161	5	4212	4046	131
13	0	291	342	5088	214	15	4797	4568	51
21	0	448	525	5225	232	15	4777	4530	77
37	0	681	834	5391	232	155	4710	4323	153
14	0	301	357	5488	304	29	5187	4854	56
16	0	341	402	5544	311	63	5203	4829	61
20	0	406	480	5652	345	132	5246	4769	74
47	0	889	1086	6029	650	141	5140	4349	197
0	0	0	0	6029	92	0	6029	5937	0
