id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
5	0	23	71	98	27	0	75	48	48
10	0	123	141	157	16	0	34	18	18
8	0	118	138	163	9	2	45	34	20
23	0	305	582	668	86	0	363	277	277
46	0	723	1260	1262	2	0	539	537	537
49	0	747	1430	1444	14	0	697	683	683
30	0	360	1758	1916	79	10	1556	1467	1398
18	0	234	1756	1948	34	17	1714	1663	1522
32	0	374	1959	1965	6	0	1591	1585	1585
3	0	5	59	2292	54	2	2287	2231	54
29	0	350	423	2497	50	24	2147	2073	73
38	0	578	915	2517	36	10	1939	1893	337
2	0	3	22	3091	61	53	3088	2974	19
33	0	472	1965	3109	42	5	2637	2590	1493
47	0	741	1288	3210	55	20	2469	2394	547
34	0	479	2031	3382	125	27	2903	2751	1552
19	0	235	1948	3541	139	48	3306	3119	1713
4	0	6	32	3559	64	26	3553	3463	26
24	0	311	1223	3778	90	27	3467	3350	912
42	0	634	1122	3779	98	13	3145	3034	488
26	0	339	1410	3987	95	17	3648	3536	1071
37	0	511	689	3998	88	30	3487	3369	178
22	0	261	532	4031	68	10	3770	3692	271
11	0	144	163	4073	65	38	3929	3826	19
39	0	584	931	4127	97	31	3543	3415	347
6	0	30	44	4266	151	67	4236	4018	14
45	0	714	1155	4493	188	158	3779	3433	441
9	0	121	166	4513	181	46	4392	4165	45
27	0	341	1444	4552	164	41	4211	4006	1103
50	0	765	855	4649	86	19	3884	3779	90
40	0	597	937	4701	78	38	4104	3988	340
44	0	679	706	4843	93	69	4164	4002	27
14	0	207	354	4846	72	12	4639	4555	147
17	0	231	1622	5171	160	59	4940	4721	1391
43	0	667	673	5261	294	105	4594	4195	6
1	0	0	0	5331	314	132	5331	4885	0
13	0	178	279	5338	265	50	5160	4845	101
31	0	372	1760	5374	115	12	5002	4875	1388
36	0	494	668	5483	158	37	4989	4794	174
21	0	241	438	5566	113	4	5325	5208	197
7	0	91	98	5649	253	30	5558	5275	7
25	0	321	1262	5715	221	82	5394	5091	941
12	0	165	174	5815	201	30	5650	5419	9
28	0	348	1640	5877	198	15	5529	5316	1292
48	0	745	1300	6029	256	41	5284	4987	555
15	0	208	1184	6086	206	52	5878	5620	976
41	0	615	1004	6163	262	35	5548	5251	389
16	0	220	1450	6261	218	7	6041	5816	1230
35	0	488	2049	6280	215	82	5792	5495	1561
20	0	240	1989	6333	348	119	6093	5626	1749
0	0	0	0	6333	23	0	6333	6310	0
