id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
6	0	49	49	54	5	0	5	0	0
8	0	118	118	132	6	8	14	0	0
1	0	0	0	210	41	0	210	169	0
3	0	21	21	416	52	18	395	325	0
5	0	42	42	442	46	4	400	350	0
4	0	24	29	454	57	10	430	363	5
21	0	639	639	654	10	0	15	5	0
27	0	733	733	738	5	0	5	0	0
28	0	758	758	762	4	0	4	0	0
13	0	323	323	858	40	50	535	445	0
25	0	710	710	1031	24	0	321	297	0
26	0	730	730	1353	29	0	623	594	0
36	0	975	975	1643	27	0	668	641	0
9	0	178	178	1690	74	19	1512	1419	0
41	0	1122	1122	1852	21	18	730	691	0
34	0	914	914	1904	34	22	990	934	0
43	0	1214	1214	2099	29	2	885	854	0
15	0	402	402	2152	63	65	1750	1622	0
19	0	616	616	2158	47	63	1542	1432	0
32	0	886	886	2357	62	6	1471	1403	0
12	0	289	289	2698	91	9	2409	2309	0
42	0	1167	1167	2755	52	17	1588	1519	0
31	0	877	877	2774	66	19	1897	1812	0
20	0	631	631	3419	96	12	2788	2680	0
33	0	891	891	3602	87	10	2711	2614	0
24	0	707	707	3616	90	71	2909	2748	0
16	0	494	494	3828	111	52	3334	3171	0
29	0	771	771	3936	104	10	3165	3051	0
17	0	531	531	4003	123	23	3472	3326	0
30	0	792	792	4052	124	17	3260	3119	0
48	0	1374	1374	4310	111	38	2936	2787	0
18	0	560	560	4319	140	24	3759	3595	0
45	0	1299	1299	4352	127	12	3053	2914	0
10	0	258	258	4356	170	6	4098	3922	0
35	0	953	953	4437	118	52	3484	3314	0
11	0	272	272	4475	184	22	4203	3997	0
22	0	684	684	4683	151	112	3999	3736	0
7	0	114	114	4708	214	110	4594	4270	0
23	0	699	699	4756	173	23	4057	3861	0
47	0	1371	1371	4911	173	20	3540	3347	0
50	0	1397	1397	5007	158	20	3610	3432	0
38	0	1058	1058	5010	178	9	3952	3765	0
2	0	20	20	5098	268	2	5078	4808	0
46	0	1321	1321	5447	240	20	4126	3866	0
14	0	377	377	5612	308	80	5235	4847	0
40	0	1120	1120	5925	325	36	4805	4444	0
44	0	1290	1290	5954	323	97	4664	4244	0
37	0	992	992	5955	331	66	4963	4566	0
49	0	1382	1382	6192	423	131	4810	4256	0
39	0	1101	1101	6254	494	145	5153	4514	0
0	0	0	0	6254	25	0	6254	6229	0
