id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3	0	63	70	146	12	22	83	49	7
8	0	176	198	247	9	0	71	62	22
14	0	221	272	351	9	0	130	121	51
15	0	230	282	362	6	0	132	126	52
11	0	198	237	467	16	0	269	253	39
42	0	637	804	805	1	0	168	167	167
1	0	0	0	855	111	12	855	732	0
9	0	183	208	1051	37	0	868	831	25
32	0	483	599	1386	22	0	903	881	116
45	0	697	880	1493	20	1	796	775	183
35	0	535	664	1653	20	4	1118	1094	129
2	0	13	15	2154	126	10	2141	2005	2
39	0	591	739	2468	42	10	1877	1825	148
18	0	281	351	3107	81	11	2826	2734	70
7	0	168	188	3127	100	0	2959	2859	20
31	0	472	582	3196	69	16	2724	2639	110
27	0	446	539	3293	72	33	2847	2742	93
10	0	196	232	3327	96	18	3131	3017	36
43	0	642	810	3413	71	3	2771	2697	168
47	0	704	895	3464	72	3	2760	2685	191
6	0	139	156	3488	108	45	3349	3196	17
17	0	259	327	4106	114	4	3847	3729	68
13	0	213	257	4131	121	8	3918	3789	44
38	0	580	729	4193	94	27	3613	3492	149
28	0	448	542	4292	112	30	3844	3702	94
37	0	564	709	4294	106	12	3730	3612	145
49	0	756	960	4322	100	3	3566	3463	204
19	0	297	367	4628	124	34	4331	4173	70
26	0	433	526	4709	132	7	4276	4137	93
46	0	701	890	4727	124	7	4026	3895	189
23	0	391	467	4745	137	7	4354	4210	76
29	0	450	552	4817	130	33	4367	4204	102
22	0	380	456	4824	136	16	4444	4292	76
50	0	778	989	4899	125	54	4121	3942	211
24	0	416	496	5102	155	26	4686	4505	80
5	0	118	135	5161	187	55	5043	4801	17
30	0	470	577	5223	151	141	4753	4461	107
33	0	517	639	5248	151	44	4731	4536	122
48	0	749	945	5284	154	30	4535	4351	196
4	0	102	116	5347	197	28	5245	5020	14
40	0	600	754	5486	178	15	4886	4693	154
21	0	338	422	5572	189	53	5234	4992	84
34	0	534	659	5651	196	88	5117	4833	125
20	0	337	412	5941	245	61	5604	5298	75
16	0	243	307	6026	275	71	5783	5437	64
12	0	207	247	6137	309	6	5930	5615	40
44	0	696	875	6143	266	60	5447	5121	179
41	0	620	789	6432	372	48	5812	5392	169
25	0	418	506	6577	454	85	6159	5620	88
36	0	550	689	6858	672	138	6308	5498	139
0	0	0	0	6858	52	0	6858	6806	0
