id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3	0	77	116	170	54	0	93	39	39
5	0	119	235	549	89	14	430	327	116
1	0	0	0	818	163	50	818	605	0
10	0	265	445	935	42	11	670	617	180
18	0	518	997	1005	8	0	487	479	479
6	0	222	261	1115	72	22	893	799	39
23	0	589	1115	1141	26	0	552	526	526
12	0	406	720	1532	57	4	1126	1065	314
36	0	811	1582	1595	13	0	784	771	771
41	0	873	1687	1730	43	0	857	814	814
43	0	888	1749	1801	52	0	913	861	861
14	0	459	864	1885	120	15	1426	1291	405
47	0	967	1959	1966	7	0	999	992	992
50	0	1024	2075	2153	78	0	1129	1051	1051
17	0	504	968	2242	118	30	1738	1590	464
19	0	534	1005	2355	147	4	1821	1670	471
8	0	237	373	2675	58	32	2438	2348	136
9	0	251	405	2690	53	7	2439	2379	154
2	0	66	102	2705	97	51	2639	2491	36
40	0	848	1664	2784	37	9	1936	1890	816
42	0	885	1730	2859	30	4	1974	1940	845
44	0	894	1801	2910	64	8	2016	1944	907
46	0	964	1913	3043	48	5	2079	2026	949
49	0	1021	2046	3102	41	3	2081	2037	1025
26	0	646	1213	3496	65	7	2850	2778	567
24	0	610	1141	3543	122	26	2933	2785	531
7	0	235	313	3638	199	13	3403	3191	78
28	0	673	1296	3670	63	70	2997	2864	623
31	0	708	1339	3730	104	18	3022	2900	631
32	0	728	1428	3766	71	37	3038	2930	700
38	0	845	1601	3868	80	8	3023	2935	756
45	0	935	1885	3929	131	12	2994	2851	950
20	0	554	1039	4055	42	15	3501	3444	485
30	0	705	1336	4186	48	26	3481	3407	631
33	0	733	1482	4197	95	56	3464	3313	749
37	0	829	1595	4243	60	36	3414	3318	766
11	0	321	549	4492	297	30	4171	3844	228
34	0	788	1565	4603	99	42	3815	3674	777
15	0	481	913	4705	176	71	4224	3977	432
22	0	566	1089	4836	245	33	4270	3992	523
29	0	689	1315	4857	140	36	4168	3992	626
25	0	622	1182	4974	158	109	4352	4085	560
13	0	456	818	5059	225	91	4603	4287	362
48	0	972	1966	5067	242	53	4095	3800	994
21	0	556	1040	5126	209	88	4570	4273	484
4	0	117	176	5463	214	102	5346	5030	59
39	0	847	1662	5768	262	120	4921	4539	815
27	0	665	1268	5863	434	68	5198	4696	603
35	0	808	1580	5896	198	95	5088	4795	772
16	0	495	935	6015	470	200	5520	4850	440
0	0	0	0	6015	49	0	6015	5966	0
