id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	41	41	0	41	0	0
6	0	49	62	67	5	0	18	13	13
3	0	21	41	149	52	18	128	58	20
8	0	118	121	154	6	8	36	22	3
5	0	42	93	203	46	4	161	111	51
4	0	24	67	245	57	10	221	154	43
9	0	178	203	394	74	19	216	123	25
13	0	323	334	507	40	50	184	94	11
21	0	639	652	662	10	0	23	13	13
25	0	710	733	757	24	0	47	23	23
27	0	733	757	762	5	0	29	24	24
28	0	758	762	766	4	0	8	4	4
19	0	616	662	819	47	63	203	93	46
26	0	730	851	880	29	0	150	121	121
34	0	914	929	993	34	22	79	23	15
36	0	975	1043	1070	27	0	95	68	68
24	0	707	791	1074	90	71	367	206	84
41	0	1122	1137	1205	21	18	83	44	15
31	0	877	1104	1231	66	19	354	269	227
43	0	1214	1239	1280	29	2	66	35	25
35	0	953	968	1358	118	52	405	235	15
42	0	1167	1306	1379	52	17	212	143	139
30	0	792	1379	1596	124	17	804	663	587
16	0	494	507	1635	111	52	1141	978	13
32	0	886	906	1841	62	6	955	887	20
7	0	114	204	2199	214	110	2085	1761	90
33	0	891	2199	2327	87	10	1436	1339	1308
15	0	402	420	2397	63	65	1995	1867	18
48	0	1374	2135	2399	111	38	1025	876	761
50	0	1397	1415	2629	158	20	1232	1054	18
11	0	272	541	2933	184	22	2661	2455	269
20	0	631	1074	3064	96	12	2433	2325	443
22	0	684	819	3078	151	112	2394	2131	135
29	0	771	1635	3143	104	10	2372	2258	864
12	0	289	301	3282	91	9	2993	2893	12
45	0	1299	1713	3300	127	12	2001	1862	414
47	0	1371	3370	3731	173	20	2360	2167	1999
14	0	377	394	3896	308	80	3519	3131	17
18	0	560	588	4080	140	24	3520	3356	28
17	0	531	3803	4097	123	23	3566	3420	3272
23	0	699	710	4322	173	23	3623	3427	11
37	0	992	1753	4337	331	66	3345	2948	761
38	0	1058	4378	4613	178	9	3555	3368	3320
10	0	258	284	5072	170	6	4814	4638	26
49	0	1382	3642	5091	423	131	3709	3155	2260
39	0	1101	1674	5119	494	145	4018	3379	573
46	0	1321	1867	5666	240	20	4345	4085	546
40	0	1120	5261	6104	325	36	4984	4623	4141
2	0	20	5897	6190	268	2	6170	5900	5877
44	0	1290	5119	6246	323	97	4956	4536	3829
0	0	0	0	6246	17	0	6246	6229	0
