id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	16	14	2	16	0	0
2	0	94	94	109	8	7	15	0	0
3	0	348	348	376	3	25	28	0	0
4	0	378	378	426	18	30	48	0	0
5	0	529	529	559	5	25	30	0	0
6	0	608	608	627	12	7	19	0	0
9	0	656	656	663	7	0	7	0	0
8	0	628	629	681	11	38	53	4	1
11	0	732	732	737	4	1	5	0	0
10	0	708	710	742	15	10	34	9	2
7	0	625	627	747	40	70	122	12	2
12	0	768	768	816	48	0	48	0	0
13	0	830	830	847	14	3	17	0	0
14	0	875	875	879	4	0	4	0	0
15	0	884	884	896	4	8	12	0	0
16	0	936	936	999	25	33	63	5	0
17	0	976	976	1039	17	41	63	5	0
18	0	1104	1104	1120	3	13	16	0	0
19	0	1147	1147	1159	7	5	12	0	0
20	0	1224	1224	1254	11	19	30	0	0
0	0	0	0	1254	984	0	1254	270	0
