id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
4	0	44	46	90	7	37	46	2	2
1	0	0	0	233	31	173	233	29	0
3	0	42	42	235	43	147	193	3	0
5	0	273	273	326	13	40	53	0	0
6	0	327	327	397	52	18	70	0	0
8	0	367	385	405	11	6	38	21	18
7	0	358	375	440	23	28	82	31	17
2	0	4	11	493	94	364	489	31	7
9	0	443	443	614	32	133	171	6	0
11	0	582	582	686	14	90	104	0	0
12	0	675	675	783	22	86	108	0	0
10	0	543	543	976	53	354	433	26	0
15	0	1010	1010	1039	23	4	29	2	0
13	0	913	913	1056	42	94	143	7	0
14	0	958	963	1151	42	146	193	5	5
18	0	1256	1265	1327	15	45	71	11	9
16	0	1158	1158	1419	31	230	261	0	0
17	0	1163	1163	1641	73	393	478	12	0
19	0	1688	1688	1703	15	0	15	0	0
20	0	1774	1774	1825	10	41	51	0	0
21	0	1965	1965	2056	32	59	91	0	0
23	0	2279	2280	2338	20	38	59	1	1
25	0	2366	2378	2536	9	148	170	13	12
28	0	2529	2529	2616	14	67	87	6	0
22	0	2268	2268	2621	28	290	353	35	0
27	0	2517	2518	2643	27	94	126	5	1
29	0	2595	2595	2708	16	84	113	13	0
31	0	2708	2708	2729	12	9	21	0	0
24	0	2365	2365	2853	61	418	488	9	0
26	0	2448	2448	2941	104	356	493	33	0
33	0	3057	3057	3188	7	124	131	0	0
34	0	3163	3163	3215	7	45	52	0	0
30	0	2682	2682	3222	48	457	540	35	0
32	0	3031	3031	3288	49	196	257	12	0
37	0	3409	3420	3480	23	37	71	11	11
38	0	3443	3443	3491	11	37	48	0	0
36	0	3394	3399	3545	29	117	151	5	5
35	0	3224	3224	3654	86	316	430	28	0
40	0	3698	3698	3843	16	124	145	5	0
41	0	3803	3803	3847	8	36	44	0	0
42	0	3885	3885	3938	10	43	53	0	0
39	0	3585	3585	4122	65	469	537	3	0
44	0	4131	4131	4138	7	0	7	0	0
43	0	4077	4077	4152	7	62	75	6	0
45	0	4221	4221	4358	30	107	137	0	0
46	0	4274	4275	4617	63	272	343	8	1
47	0	4400	4400	4660	33	223	260	4	0
49	0	4777	4777	5069	26	266	292	0	0
48	0	4524	4524	5361	84	753	837	0	0
50	0	5342	5342	5810	46	422	468	0	0
0	0	0	0	5810	4186	0	5810	1624	0
