id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3	0	134	134	263	23	94	129	12	0
4	0	255	255	314	14	45	59	0	0
1	0	0	0	384	82	263	384	39	0
7	0	514	514	653	48	82	139	9	0
8	0	670	670	691	16	0	21	5	0
5	0	360	360	735	70	292	375	13	0
2	0	63	63	817	138	523	754	93	0
9	0	758	758	866	8	100	108	0	0
12	0	974	974	1023	10	39	49	0	0
10	0	821	821	1068	34	213	247	0	0
15	0	1073	1073	1088	9	6	15	0	0
6	0	417	417	1094	114	497	677	66	0
13	0	1054	1054	1167	16	92	113	5	0
17	0	1169	1169	1193	2	22	24	0	0
18	0	1188	1188	1357	15	137	169	17	0
19	0	1210	1210	1367	33	78	157	46	0
16	0	1097	1097	1382	62	141	285	82	0
11	0	867	867	1392	90	294	525	141	0
14	0	1071	1071	1408	39	239	337	59	0
21	0	1518	1518	1552	16	18	34	0	0
23	0	1572	1572	1579	2	0	7	5	0
24	0	1721	1721	1722	1	0	1	0	0
20	0	1286	1286	1793	101	334	507	72	0
22	0	1567	1567	1859	33	256	292	3	0
25	0	1902	1902	1931	12	17	29	0	0
26	0	1916	1916	2000	17	62	84	5	0
27	0	2044	2044	2061	12	5	17	0	0
28	0	2239	2239	2241	2	0	2	0	0
30	0	2330	2330	2377	20	27	47	0	0
31	0	2390	2390	2560	17	153	170	0	0
32	0	2601	2601	2619	5	13	18	0	0
29	0	2310	2310	2849	147	362	539	30	0
35	0	3024	3024	3129	24	78	105	3	0
33	0	2612	2612	3275	78	535	663	50	0
34	0	2829	2829	3278	47	376	449	26	0
39	0	3363	3363	3364	1	0	1	0	0
36	0	3098	3098	3417	75	200	319	44	0
38	0	3270	3270	3435	55	92	165	18	0
37	0	3156	3156	3632	81	378	476	17	0
41	0	3859	3859	3989	14	115	130	1	0
40	0	3814	3814	4013	37	156	199	6	0
42	0	4271	4271	4505	61	173	234	0	0
43	0	4633	4633	4734	12	89	101	0	0
45	0	4753	4753	4893	10	130	140	0	0
44	0	4693	4693	4936	32	211	243	0	0
49	0	5005	5005	5010	5	0	5	0	0
46	0	4874	4874	5031	23	123	157	11	0
47	0	4890	4890	5095	24	176	205	5	0
48	0	4984	4984	5161	45	106	177	26	0
50	0	5166	5166	5175	7	2	9	0	0
0	0	0	0	5175	3336	0	5175	1839	0
