id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	59	59	153	8	86	94	0	0
1	0	0	0	309	55	254	309	0	0
3	0	466	466	695	52	177	229	0	0
7	0	799	799	835	9	27	36	0	0
5	0	780	780	914	48	70	134	16	0
6	0	790	790	950	16	140	160	4	0
4	0	760	760	1044	25	253	284	6	0
8	0	922	922	1255	32	285	333	16	0
9	0	977	977	1505	76	407	528	45	0
10	0	1150	1150	1561	82	244	411	85	0
15	0	1591	1592	1623	2	29	32	1	1
13	0	1440	1441	1641	34	130	201	37	1
16	0	1607	1607	1645	10	26	38	2	0
11	0	1252	1255	1764	83	357	512	72	3
14	0	1501	1510	1806	66	207	305	32	9
12	0	1439	1439	1817	35	305	378	38	0
17	0	1768	1768	1954	40	131	186	15	0
18	0	1915	1915	1967	43	0	52	9	0
19	0	2039	2039	2071	10	22	32	0	0
22	0	2168	2168	2254	12	65	86	9	0
23	0	2235	2239	2406	33	108	171	30	4
21	0	2116	2116	2467	84	234	351	33	0
20	0	2086	2086	2543	35	399	457	23	0
24	0	2571	2571	2612	8	33	41	0	0
25	0	3012	3012	3155	34	109	143	0	0
26	0	3188	3188	3210	6	16	22	0	0
28	0	3413	3413	3479	5	61	66	0	0
27	0	3388	3388	3595	28	179	207	0	0
29	0	3719	3719	3804	17	61	85	7	0
33	0	3942	3942	3970	12	12	28	4	0
32	0	3900	3900	3994	17	64	94	13	0
31	0	3793	3793	4001	36	158	208	14	0
30	0	3735	3735	4044	62	219	309	28	0
34	0	4032	4036	4111	22	50	79	7	4
36	0	4148	4150	4196	29	17	48	2	2
38	0	4220	4220	4241	11	10	21	0	0
37	0	4210	4210	4250	9	31	40	0	0
39	0	4599	4599	4613	7	6	14	1	0
35	0	4131	4131	4621	58	432	490	0	0
41	0	4806	4806	4837	3	28	31	0	0
40	0	4645	4645	4939	56	214	294	24	0
43	0	4866	4866	5000	27	81	134	26	0
42	0	4811	4813	5004	48	111	193	34	2
45	0	5145	5145	5308	33	126	163	4	0
46	0	5424	5424	5772	26	311	348	11	0
44	0	5029	5029	5831	87	687	802	28	0
50	0	5875	5875	5952	12	63	77	2	0
49	0	5870	5870	6010	21	106	140	13	0
47	0	5529	5529	6138	116	431	609	62	0
48	0	5684	5684	6427	104	597	743	42	0
0	0	0	0	6427	4643	0	6427	1784	0
