id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	7	7	0	7	0	0
5	0	165	165	167	2	0	2	0	0
2	0	118	118	177	46	4	59	9	0
3	0	122	122	207	11	73	85	1	0
4	0	155	155	258	15	87	103	1	0
6	0	639	639	703	26	37	64	1	0
7	0	695	695	705	3	7	10	0	0
9	0	719	719	737	9	5	18	4	0
8	0	715	715	912	38	151	197	8	0
11	0	1056	1056	1098	6	36	42	0	0
10	0	721	723	1331	93	515	610	2	2
16	0	1606	1606	1629	7	13	23	3	0
17	0	1619	1619	1630	5	4	11	2	0
15	0	1604	1604	1658	29	10	54	15	0
19	0	1727	1727	1736	8	1	9	0	0
18	0	1713	1713	1748	6	29	35	0	0
20	0	1758	1758	1806	9	39	48	0	0
12	0	1380	1380	2051	108	495	671	68	0
14	0	1500	1500	2177	68	598	677	11	0
22	0	2148	2148	2187	7	32	39	0	0
13	0	1492	1492	2306	77	639	814	98	0
21	0	1928	1928	2366	40	385	438	13	0
23	0	2233	2233	2406	37	118	173	18	0
24	0	2334	2334	2520	25	145	186	16	0
25	0	2451	2451	2657	49	132	206	25	0
26	0	2508	2508	2887	51	296	379	32	0
28	0	2641	2641	2892	67	167	251	17	0
29	0	2855	2855	2938	23	44	83	16	0
32	0	2950	2950	2975	9	4	25	12	0
33	0	2961	2966	2982	11	5	21	5	5
27	0	2628	2628	3083	65	323	455	67	0
31	0	2948	2948	3120	36	116	172	20	0
30	0	2912	2912	3170	54	143	258	61	0
34	0	3120	3120	3215	8	87	95	0	0
36	0	3351	3351	3370	14	5	19	0	0
38	0	3541	3541	3653	23	73	112	16	0
35	0	3303	3303	3680	46	318	377	13	0
39	0	3646	3646	3689	7	36	43	0	0
41	0	3855	3855	3886	21	5	31	5	0
42	0	3942	3942	3944	2	0	2	0	0
37	0	3515	3515	3994	96	335	479	48	0
40	0	3678	3678	4092	57	338	414	19	0
44	0	4046	4046	4177	13	113	131	5	0
45	0	4211	4211	4332	19	102	121	0	0
46	0	4303	4303	4418	3	112	115	0	0
48	0	4385	4385	4452	16	46	67	5	0
49	0	4435	4435	4506	9	58	71	4	0
43	0	4012	4012	4546	83	420	534	31	0
47	0	4377	4377	4989	72	532	612	8	0
50	0	4501	4501	5139	104	524	638	10	0
0	0	0	0	5139	3499	0	5139	1640	0
