id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	7	7	0	7	0	0
2	0	118	118	174	46	4	56	6	0
5	0	165	174	176	2	0	11	9	9
3	0	122	151	235	11	73	113	29	29
4	0	155	155	257	15	87	102	0	0
6	0	639	639	702	26	37	63	0	0
7	0	695	702	712	3	7	17	7	7
9	0	719	721	735	9	5	16	2	2
8	0	715	715	907	38	151	192	3	0
11	0	1056	1056	1098	6	36	42	0	0
10	0	721	725	1333	93	515	612	4	4
17	0	1619	1623	1636	5	4	17	8	4
16	0	1606	1616	1640	7	13	34	14	10
15	0	1604	1627	1672	29	10	68	29	23
19	0	1727	1738	1754	8	1	27	18	11
18	0	1713	1737	1775	6	29	62	27	24
20	0	1758	1758	1806	9	39	48	0	0
12	0	1380	1380	2001	108	495	621	18	0
14	0	1500	1500	2176	68	598	676	10	0
22	0	2148	2151	2190	7	32	42	3	3
13	0	1492	1492	2254	77	639	762	46	0
21	0	1928	1928	2365	40	385	437	12	0
23	0	2233	2233	2394	37	118	161	6	0
24	0	2334	2336	2506	25	145	172	2	2
25	0	2451	2451	2642	49	132	191	10	0
26	0	2508	2508	2857	51	296	349	2	0
28	0	2641	2642	2895	67	167	254	20	1
29	0	2855	2857	2933	23	44	78	11	2
32	0	2950	2951	2966	9	4	16	3	1
33	0	2961	2966	3010	11	5	49	33	5
27	0	2628	2643	3063	65	323	435	47	15
31	0	2948	2968	3133	36	116	185	33	20
30	0	2912	2912	3165	54	143	253	56	0
34	0	3120	3120	3215	8	87	95	0	0
36	0	3351	3351	3370	14	5	19	0	0
38	0	3541	3562	3659	23	73	118	22	21
35	0	3303	3303	3674	46	318	371	7	0
39	0	3646	3650	3693	7	36	47	4	4
41	0	3855	3856	3886	21	5	31	5	1
42	0	3942	3942	3944	2	0	2	0	0
37	0	3515	3515	3957	96	335	442	11	0
40	0	3678	3682	4086	57	338	408	13	4
44	0	4046	4046	4174	13	113	128	2	0
45	0	4211	4211	4332	19	102	121	0	0
46	0	4303	4303	4426	3	112	123	8	0
48	0	4385	4385	4450	16	46	65	3	0
49	0	4435	4435	4502	9	58	67	0	0
43	0	4012	4012	4547	83	420	535	32	0
47	0	4377	4377	5009	72	532	632	28	0
50	0	4501	4502	5137	104	524	636	8	1
0	0	0	0	5137	3497	0	5137	1640	0
