id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	7	7	0	7	0	0
2	0	118	118	174	46	4	56	6	0
5	0	165	174	176	2	0	11	9	9
3	0	122	151	235	11	73	113	29	29
4	0	155	155	257	15	87	102	0	0
6	0	639	639	702	26	37	63	0	0
7	0	695	702	712	3	7	17	7	7
9	0	719	721	735	9	5	16	2	2
8	0	715	715	907	38	151	192	3	0
11	0	1056	1056	1098	6	36	42	0	0
10	0	721	725	1333	93	515	612	4	4
16	0	1606	1618	1640	7	13	34	14	12
17	0	1619	1621	1641	5	4	22	13	2
15	0	1604	1610	1661	29	10	57	18	6
19	0	1727	1739	1748	8	1	21	12	12
18	0	1713	1713	1753	6	29	40	5	0
20	0	1758	1786	1834	9	39	76	28	28
12	0	1380	1380	2050	108	495	670	67	0
14	0	1500	1500	2184	68	598	684	18	0
22	0	2148	2148	2187	7	32	39	0	0
13	0	1492	1492	2275	77	639	783	67	0
21	0	1928	1932	2365	40	385	437	12	4
23	0	2233	2233	2394	37	118	161	6	0
24	0	2334	2336	2506	25	145	172	2	2
25	0	2451	2451	2642	49	132	191	10	0
26	0	2508	2508	2857	51	296	349	2	0
28	0	2641	2648	2895	67	167	254	20	7
29	0	2855	2857	2933	23	44	78	11	2
32	0	2950	2967	2990	9	4	40	27	17
33	0	2961	2970	2994	11	5	33	17	9
27	0	2628	2642	3084	65	323	456	68	14
30	0	2912	2912	3149	54	143	237	40	0
31	0	2948	2950	3154	36	116	206	54	2
34	0	3120	3120	3215	8	87	95	0	0
36	0	3351	3351	3370	14	5	19	0	0
38	0	3541	3562	3659	23	73	118	22	21
35	0	3303	3303	3674	46	318	371	7	0
39	0	3646	3650	3693	7	36	47	4	4
41	0	3855	3856	3886	21	5	31	5	1
42	0	3942	3942	3944	2	0	2	0	0
37	0	3515	3515	3957	96	335	442	11	0
40	0	3678	3682	4094	57	338	416	21	4
44	0	4046	4046	4173	13	113	127	1	0
45	0	4211	4211	4332	19	102	121	0	0
46	0	4303	4303	4424	3	112	121	6	0
48	0	4385	4385	4450	16	46	65	3	0
49	0	4435	4435	4502	9	58	67	0	0
43	0	4012	4012	4534	83	420	522	19	0
47	0	4377	4377	4997	72	532	620	16	0
50	0	4501	4507	5142	104	524	641	13	6
0	0	0	0	5142	3502	0	5142	1640	0
