id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	7	7	0	7	0	0
5	0	165	166	168	2	0	3	1	1
2	0	118	118	177	46	4	59	9	0
3	0	122	123	208	11	73	86	2	1
4	0	155	155	262	15	87	107	5	0
6	0	639	639	703	26	37	64	1	0
7	0	695	698	708	3	7	13	3	3
9	0	719	720	734	9	5	15	1	1
8	0	715	715	910	38	151	195	6	0
11	0	1056	1056	1098	6	36	42	0	0
10	0	721	725	1336	93	515	615	7	4
17	0	1619	1626	1638	5	4	19	10	7
16	0	1606	1619	1642	7	13	36	16	13
15	0	1604	1614	1677	29	10	73	34	10
18	0	1713	1714	1759	6	29	46	11	1
19	0	1727	1730	1761	8	1	34	25	3
20	0	1758	1764	1812	9	39	54	6	6
12	0	1380	1380	2031	108	495	651	48	0
22	0	2148	2148	2191	7	32	43	4	0
14	0	1500	1500	2194	68	598	694	28	0
13	0	1492	1492	2258	77	639	766	50	0
21	0	1928	1928	2359	40	385	431	6	0
23	0	2233	2233	2403	37	118	170	15	0
24	0	2334	2335	2511	25	145	177	7	1
25	0	2451	2451	2652	49	132	201	20	0
26	0	2508	2511	2881	51	296	373	26	3
28	0	2641	2647	2887	67	167	246	12	6
29	0	2855	2855	2933	23	44	78	11	0
32	0	2950	2958	3001	9	4	51	38	8
33	0	2961	2973	3013	11	5	52	36	12
27	0	2628	2634	3080	65	323	452	64	6
31	0	2948	2948	3145	36	116	197	45	0
30	0	2912	2912	3159	54	143	247	50	0
34	0	3120	3120	3215	8	87	95	0	0
36	0	3351	3351	3370	14	5	19	0	0
38	0	3541	3542	3646	23	73	105	9	1
35	0	3303	3303	3677	46	318	374	10	0
39	0	3646	3646	3689	7	36	43	0	0
41	0	3855	3855	3900	21	5	45	19	0
42	0	3942	3942	3944	2	0	2	0	0
37	0	3515	3515	3974	96	335	459	28	0
40	0	3678	3678	4091	57	338	413	18	0
44	0	4046	4046	4178	13	113	132	6	0
45	0	4211	4211	4332	19	102	121	0	0
46	0	4303	4303	4422	3	112	119	4	0
48	0	4385	4385	4450	16	46	65	3	0
49	0	4435	4435	4502	9	58	67	0	0
43	0	4012	4012	4539	83	420	527	24	0
47	0	4377	4377	5004	72	532	627	23	0
50	0	4501	4511	5147	104	524	646	18	10
0	0	0	0	5147	3507	0	5147	1640	0
